key,cell,pro
0,12666.6,32.07258
0,625000,10.05645
0,,
1,16000,63.52419355
0,150666,9.814516
0,43636,56.95
1,1000000,14.408
0,5000000,
0,,
0,108125,
1,,
0,,
0,,
0,,
1,1500000,
0,,
0,12903226,6.91129
1,10000,2.879032
0,10000,5.379032
0,2000,4.169355
0,42666.6,30.33871
1,10000000,7.919355
0,833333.3,
1,,
0,2666,19.49194
0,,
0,10000,10.74194
1,151515,43.60483871
0,,
0,88235,55.74193548
0,4480000,
0,,0.801
0,483870,31.62903
